image_id,label
0.jpg,0.95456594
00103.jpg,0.98059595
1.jpg,0.9953044
10.jpg,0.9925892
100.jpg,0.990776
1000.jpg,0.986618
10000.jpg,0.99706674
10001.jpg,0.97280085
10002.jpg,0.99350566
10003.jpg,0.9767439
10004.jpg,0.91378516
10005.jpg,0.9604676
10006.jpg,0.9987026
10007.jpg,0.9849712
10008.jpg,0.9992249
10009.jpg,0.9855658
1001.jpg,0.9960316
10010.jpg,0.9981517
10011.jpg,0.9880118
10012.jpg,0.9970695
10013.jpg,0.9962041
10014.jpg,0.96749747
10015.jpg,0.8301709
10016.jpg,0.9977727
10017.jpg,0.966
10018.jpg,0.9960493
10019.jpg,0.99186623
1002.jpg,0.9845092
10020.jpg,0.9259001
10021.jpg,0.9936354
10022.jpg,0.9840943
10023.jpg,0.95060337
10024.jpg,0.9942339
10025.jpg,0.9850161
10026.jpg,0.96433514
10027.jpg,0.9867723
10028.jpg,0.8472655
10029.jpg,0.94515085
1003.jpg,0.99416375
10030.jpg,0.99404985
10031.jpg,0.9586444
10032.jpg,0.07230135
10033.jpg,0.9290838
10034.jpg,0.99289984
10035.jpg,0.996861
10036.jpg,0.9182574
10037.jpg,0.9911039
10038.jpg,0.89155465
10039.jpg,0.9985863
1004.jpg,0.9959559
10040.jpg,0.99387896
10041.jpg,0.8634221
10042.jpg,0.9917265
10043.jpg,0.9506283
10044.jpg,0.9954867
10045.jpg,0.99121577
10046.jpg,0.98272145
10047.jpg,0.9986215
10048.jpg,0.99386406
10049.jpg,0.99637234
1005.jpg,0.972567
10050.jpg,0.909964
10051.jpg,0.98667383
10052.jpg,0.9904099
10053.jpg,0.99889946
10054.jpg,0.9956086
10055.jpg,0.9980611
10056.jpg,0.9694578
10057.jpg,0.9933076
10058.jpg,0.9830757
10059.jpg,0.98275924
1006.jpg,0.9972069
10060.jpg,0.9244864
10061.jpg,0.98574054
10062.jpg,0.98147243
10063.jpg,0.3486275
10064.jpg,0.99592423
10065.jpg,0.9975563
10066.jpg,0.99763876
10067.jpg,0.93213874
10068.jpg,0.976877
10069.jpg,0.9990061
1007.jpg,0.99516374
10070.jpg,0.93810713
10071.jpg,0.9409752
10072.jpg,0.1535097
10073.jpg,0.9970966
10074.jpg,0.9927625
10075.jpg,0.99177116
10076.jpg,0.99677026
10077.jpg,0.98473436
10078.jpg,0.99843025
10079.jpg,0.9953934
1008.jpg,0.9981633
10080.jpg,0.9710074
10081.jpg,0.9978347
10082.jpg,0.9810229
10083.jpg,0.9994196
10084.jpg,0.9912532
10085.jpg,0.95786786
10086.jpg,0.9967551
10087.jpg,0.9674992
10088.jpg,0.9929762
10089.jpg,0.98654467
1009.jpg,0.99336714
10090.jpg,0.9931578
10091.jpg,0.9340582
10092.jpg,0.99270815
10093.jpg,0.9924313
10094.jpg,0.99894834
10095.jpg,0.99798685
10096.jpg,0.9959267
10097.jpg,0.99030143
10098.jpg,0.9948964
10099.jpg,0.96899825
101.jpg,0.99284697
1010.jpg,0.9967755
10100.jpg,0.9949854
10101.jpg,0.9289453
10102.jpg,0.9966187
10103.jpg,0.9883842
10104.jpg,0.9967542
10105.jpg,0.99816865
10106.jpg,0.9978715
10107.jpg,0.98290604
10108.jpg,0.85909736
10109.jpg,0.88640314
1011.jpg,0.9980798
10110.jpg,0.99887604
10111.jpg,0.9966983
10112.jpg,0.9974549
10113.jpg,0.98027736
10114.jpg,0.9809038
10115.jpg,0.9791215
10116.jpg,0.94214684
10117.jpg,0.95136625
10118.jpg,0.537349
10119.jpg,0.9733496
1012.jpg,0.9943496
10120.jpg,0.9903327
10121.jpg,0.9880807
10122.jpg,0.9696386
10123.jpg,0.9967954
10124.jpg,0.9983051
10125.jpg,0.993174
10126.jpg,0.9983921
10127.jpg,0.9228869
10128.jpg,0.9844225
10129.jpg,0.9804398
1013.jpg,0.9873093
10130.jpg,0.80448025
10131.jpg,0.98535997
10132.jpg,0.96506625
10133.jpg,0.96806824
10134.jpg,0.9979472
10135.jpg,0.9823632
10136.jpg,0.9432237
10137.jpg,0.983851
10138.jpg,0.9974732
10139.jpg,0.18467523
1014.jpg,0.9972872
10140.jpg,0.97698516
10141.jpg,0.9991026
10142.jpg,0.96641874
10143.jpg,0.99346673
10144.jpg,0.9293577
10145.jpg,0.8983334
10146.jpg,0.9913706
10147.jpg,0.9962301
10148.jpg,0.98646843
10149.jpg,0.998803
1015.jpg,0.9896604
10150.jpg,0.9930555
10151.jpg,0.9481798
10152.jpg,0.9959448
10153.jpg,0.9985392
10154.jpg,0.9979397
10155.jpg,0.9961001
10156.jpg,0.9954757
10157.jpg,0.958445
10158.jpg,0.9920578
10159.jpg,0.87391984
1016.jpg,0.99498457
10160.jpg,0.9718918
10161.jpg,0.9900219
10162.jpg,0.28756243
10163.jpg,0.9971398
10164.jpg,0.9861775
10165.jpg,0.24274656
10166.jpg,0.9961982
10167.jpg,0.9879243
10168.jpg,0.9949646
10169.jpg,0.9937644
1017.jpg,0.99429995
10170.jpg,0.59242845
10171.jpg,0.9553208
10172.jpg,0.93210906
10173.jpg,0.9964749
